time,x,y,theta
1890.435,-2.589040093425865e-13,4.374278717023117e-14,-5.259366355758743e-07
1890.442,1.8394150380629526e-06,-2.3496365297859256e-08,-0.00019987573274349302
1890.445,-2.589040093425865e-13,4.3520742565306136e-14,-5.259441970828505e-07
1890.447,1.8389205078683801e-06,-2.3130590331987833e-08,-0.00019987458966985727
1890.453,4.945512817333686e-05,-4.873533965277232e-07,-0.005382444469612224
1890.457,1.8242731381068467e-06,-1.3012413591084737e-08,-0.00019983685146929275
1890.462,-2.5912605394751154e-13,4.196643033083092e-14,-5.259593192086243e-07
1890.467,-2.5912605394751154e-13,4.196643033083092e-14,-5.259630997400677e-07
1890.471,-2.5912605394751154e-13,4.196643033083092e-14,-5.259668802715112e-07
1890.474,-2.5912605394751154e-13,4.196643033083092e-14,-5.259706608029546e-07
1890.478,-2.5912605394751154e-13,4.196643033083092e-14,-5.259744417784873e-07
1890.483,-2.5912605394751154e-13,4.1744385725905886e-14,-5.259782223099307e-07
1890.486,1.8213748200768265e-06,-1.1224239315765772e-08,-0.00019982825223641143
1890.49,-2.5912605394751154e-13,4.1744385725905886e-14,-5.259857838169069e-07
1890.495,-2.5912605394751154e-13,4.1744385725905886e-14,-5.259895643483503e-07
1890.5,-2.5912605394751154e-13,4.1744385725905886e-14,-5.25993345323883e-07
1890.505,-2.5912605394751154e-13,4.1744385725905886e-14,-5.259971258553264e-07
1890.509,0.00010430984254039544,3.297088757570066e-08,-0.011555249898792308
1890.512,1.7714349196396029e-06,1.0603463662661738e-08,-0.00019962925535299547
1890.517,-2.595701431573616e-13,3.863576125695545e-14,-5.260084683378352e-07
1890.521,-2.595701431573616e-13,3.8413716652030416e-14,-5.260122493133679e-07
1890.526,-2.595701431573616e-13,3.8413716652030416e-14,-5.260160302889005e-07
1890.529,-2.595701431573616e-13,3.8413716652030416e-14,-5.260198112644332e-07
1890.533,-2.595701431573616e-13,3.8413716652030416e-14,-5.260235922399659e-07
1890.538,-2.595701431573616e-13,3.8413716652030416e-14,-5.260273727714093e-07
1890.541,1.7651017294451066e-06,1.2098752888434205e-08,-0.00019959792358381634
1890.545,-2.5979218776228663e-13,3.8413716652030416e-14,-5.260349347224746e-07
1890.549,-2.5979218776228663e-13,3.8191672047105385e-14,-5.260387161420965e-07
1890.552,1.7623845727232634e-06,1.2693235351690646e-08,-0.00019958416476439922
1890.555,-2.5979218776228663e-13,3.8191672047105385e-14,-5.260462780931618e-07
1890.559,1.7609833460330293e-06,1.298961471718485e-08,-0.00019957700117689825
1890.564,8.00682211643533e-05,1.1911805839481815e-06,-0.009527794210526963
1890.569,1.4315087120131409e-06,3.585591490384843e-08,-0.00019749805980540103
1890.573,-2.6001423236721166e-13,3.574918139293004e-14,-5.260614024393817e-07
1890.577,-2.6001423236721166e-13,3.552713678800501e-14,-5.260651834149144e-07
1890.581,1.3960031648441174e-06,3.656066560608906e-08,-0.0001972687131583939
1890.586,-2.6001423236721166e-13,3.552713678800501e-14,-5.260727462541581e-07
1890.59,-2.6001423236721166e-13,3.552713678800501e-14,-5.260765272296908e-07
1890.595,-2.602362769721367e-13,3.552713678800501e-14,-5.260803086493127e-07
1890.6,1.3391221449499113e-06,3.7611571190865334e-08,-0.0001969010465421306
1890.602,1.3192000465345188e-06,3.7960440568696185e-08,-0.00019677221603764394
1890.608,1.2987991937496446e-06,3.830926398329382e-08,-0.00019664026285237668
1890.611,-2.602362769721367e-13,3.530509218307998e-14,-5.260954334396217e-07
1890.615,-2.602362769721367e-13,3.530509218307998e-14,-5.260992148592436e-07
1890.619,-2.604583215770617e-13,3.2862601528904634e-14,-5.261029962788655e-07
1890.622,-2.2761010809446702e-07,1.3513081098537327e-08,-0.00018672842109745957
1890.626,-2.604583215770617e-13,3.2862601528904634e-14,-5.261105591181092e-07
1890.632,-2.604583215770617e-13,3.2862601528904634e-14,-5.261143405377311e-07
1890.636,-2.604583215770617e-13,3.2862601528904634e-14,-5.26118121957353e-07
1890.64,-2.604583215770617e-13,3.2862601528904634e-14,-5.261219033769748e-07
1890.643,-4.019667760868373e-07,9.039736514893093e-09,-0.00018559248503002834
1890.647,-2.604583215770617e-13,3.26405569239796e-14,-5.261294662162186e-07
1890.651,-2.604583215770617e-13,3.26405569239796e-14,-5.261332476358405e-07
1890.656,-4.918018159383308e-07,6.866410995343131e-09,-0.000185006664845222
1890.661,-5.375445164546022e-07,5.8576357098161225e-09,-0.00018470839979833897
1890.665,-2.604583215770617e-13,3.26405569239796e-14,-5.261445923387953e-07
1890.67,-2.604583215770617e-13,3.241851231905457e-14,-5.261483742025064e-07
1890.672,-8.258285581885794e-05,-1.4698916808164597e-06,-0.007909373044363122
1890.676,-2.609024107869118e-13,3.042011087472929e-14,-5.261559370417501e-07
1890.68,-2.609024107869118e-13,3.042011087472929e-14,-5.261597189054612e-07
1890.683,-2.609024107869118e-13,3.042011087472929e-14,-5.261635007691723e-07
1890.686,-2.609024107869118e-13,3.042011087472929e-14,-5.261672821887942e-07
1890.69,-2.609024107869118e-13,3.042011087472929e-14,-5.261710640525052e-07
1890.694,-2.609024107869118e-13,3.019806626980426e-14,-5.261748459162163e-07
1890.697,-2.609024107869118e-13,3.019806626980426e-14,-5.261786273358382e-07
1890.701,-3.2601856967406917e-06,-7.976471505521943e-08,-0.0001670492610772456
